name,description,vehicleType,order,country,website,logo
Abarth,Fabricante italiano de automóviles deportivos,car,1,Italia,https://www.abarth.com,abarth-logo.png
BMW,Fabricante alemán de automóviles de lujo,car,2,Alemania,https://www.bmw.com,bmw-logo.png
Dacia,Fabricante rumano de automóviles,car,3,Rumania,https://www.dacia.com,dacia-logo.png
Infiniti,Fabricante japonés de automóviles de lujo,car,4,Japón,https://www.infiniti.com,infiniti-logo.png
Kia,Fabricante surcoreano de automóviles,car,5,Corea del Sur,https://www.kia.com,kia-logo.png
Land Rover,Fabricante británico de vehículos todoterreno,car,6,Reino Unido,https://www.landrover.com,landrover-logo.png
Mercedes-Benz,Fabricante alemán de automóviles de lujo,car,7,Alemania,https://www.mercedes-benz.com,mercedes-logo.png
Opel,Fabricante alemán de automóviles,car,8,Alemania,https://www.opel.com,opel-logo.png
Rolls-Royce,Fabricante británico de automóviles de lujo,car,9,Reino Unido,https://www.rolls-royce.com,rollsroyce-logo.png
Subaru,Fabricante japonés de automóviles,car,10,Japón,https://www.subaru.com,subaru-logo.png
Volkswagen,Fabricante alemán de automóviles,car,11,Alemania,https://www.volkswagen.com,vw-logo.png
Alfa Romeo,Fabricante italiano de automóviles deportivos,car,12,Italia,https://www.alfaromeo.com,alfaromeo-logo.png
Cadillac,Fabricante estadounidense de automóviles de lujo,car,13,Estados Unidos,https://www.cadillac.com,cadillac-logo.png
Ferrari,Fabricante italiano de automóviles deportivos,car,14,Italia,https://www.ferrari.com,ferrari-logo.png
Isuzu,Fabricante japonés de automóviles y camiones,car,15,Japón,https://www.isuzu.com,isuzu-logo.png
KTM,Fabricante austriaco de motocicletas y automóviles,car,16,Austria,https://www.ktm.com,ktm-logo.png
Lexus,Fabricante japonés de automóviles de lujo,car,17,Japón,https://www.lexus.com,lexus-logo.png
Mini,Fabricante británico de automóviles compactos,car,18,Reino Unido,https://www.mini.com,mini-logo.png
Peugeot,Fabricante francés de automóviles,car,19,Francia,https://www.peugeot.com,peugeot-logo.png
Seat,Fabricante español de automóviles,car,20,España,https://www.seat.com,seat-logo.png
Suzuki,Fabricante japonés de automóviles,car,21,Japón,https://www.suzuki.com,suzuki-logo.png
Volvo,Fabricante sueco de automóviles,car,22,Suecia,https://www.volvo.com,volvo-logo.png
Aston Martin,Fabricante británico de automóviles deportivos,car,23,Reino Unido,https://www.astonmartin.com,astonmartin-logo.png
Caterham,Fabricante británico de automóviles deportivos,car,24,Reino Unido,https://www.caterham.com,caterham-logo.png
Fiat,Fabricante italiano de automóviles,car,25,Italia,https://www.fiat.com,fiat-logo.png
Iveco,Fabricante italiano de vehículos comerciales,car,26,Italia,https://www.iveco.com,iveco-logo.png
Lada,Fabricante ruso de automóviles,car,27,Rusia,https://www.lada.ru,lada-logo.png
Lotus,Fabricante británico de automóviles deportivos,car,28,Reino Unido,https://www.lotuscars.com,lotus-logo.png
Mitsubishi,Fabricante japonés de automóviles,car,29,Japón,https://www.mitsubishi.com,mitsubishi-logo.png
Piaggio,Fabricante italiano de scooters y automóviles,car,30,Italia,https://www.piaggio.com,piaggio-logo.png
Skoda,Fabricante checo de automóviles,car,31,República Checa,https://www.skoda.com,skoda-logo.png
Tata,Fabricante indio de automóviles,car,32,India,https://www.tatamotors.com,tata-logo.png
Audi,Fabricante alemán de automóviles de lujo,car,33,Alemania,https://www.audi.com,audi-logo.png
Chevrolet,Fabricante estadounidense de automóviles,car,34,Estados Unidos,https://www.chevrolet.com,chevrolet-logo.png
Ford,Fabricante estadounidense de automóviles,car,35,Estados Unidos,https://www.ford.com,ford-logo.png
Jaguar,Fabricante británico de automóviles de lujo,car,36,Reino Unido,https://www.jaguar.com,jaguar-logo.png
Lamborghini,Fabricante italiano de automóviles deportivos,car,37,Italia,https://www.lamborghini.com,lamborghini-logo.png
Maserati,Fabricante italiano de automóviles de lujo,car,38,Italia,https://www.maserati.com,maserati-logo.png
Morgan,Fabricante británico de automóviles deportivos,car,39,Reino Unido,https://www.morgan-motor.com,morgan-logo.png
Porsche,Fabricante alemán de automóviles deportivos,car,40,Alemania,https://www.porsche.com,porsche-logo.png
Smart,Fabricante alemán de automóviles urbanos,car,41,Alemania,https://www.smart.com,smart-logo.png
Tesla,Fabricante estadounidense de automóviles eléctricos,car,42,Estados Unidos,https://www.tesla.com,tesla-logo.png
Bentley,Fabricante británico de automóviles de lujo,car,43,Reino Unido,https://www.bentleymotors.com,bentley-logo.png
Citroen,Fabricante francés de automóviles,car,44,Francia,https://www.citroen.com,citroen-logo.png
Honda,Fabricante japonés de automóviles,car,45,Japón,https://www.honda.com,honda-logo.png
Jeep,Fabricante estadounidense de vehículos todoterreno,car,46,Estados Unidos,https://www.jeep.com,jeep-logo.png
Lancia,Fabricante italiano de automóviles,car,47,Italia,https://www.lancia.com,lancia-logo.png
Mazda,Fabricante japonés de automóviles,car,48,Japón,https://www.mazda.com,mazda-logo.png
Nissan,Fabricante japonés de automóviles,car,49,Japón,https://www.nissan.com,nissan-logo.png
Renault,Fabricante francés de automóviles,car,50,Francia,https://www.renault.com,renault-logo.png
SsangYong,Fabricante surcoreano de automóviles,car,51,Corea del Sur,https://www.ssangyong.com,ssangyong-logo.png
Toyota,Fabricante japonés de automóviles,car,52,Japón,https://www.toyota.com,toyota-logo.png
JAC,Fabricante chino de automóviles,car,53,China,https://www.jac.com,jac-logo.png
Chery,Fabricante chino de automóviles,car,54,China,https://www.chery.com,chery-logo.png 
